YEAR_,FIRE_NAME,GIS_ACRES
2020,NELSON,109.60228
2020,AMORUSO,685.58502
2020,ATHENS,27.30048
2020,FLEMING,12.931545
2020,MELANESE,10.315964
2020,PFE,36.701931
2020,VALLEY,376.9104
2020,WALDO,10.102212
2020,WILLOW,33.973888
2020,WILLOWS,1309.09
2020,DYER,194.66029
2020,FARRIER,22.634298
2020,FIELDS,55.328434
2020,JONES,705.54602
2020,PAVE PAWS,532.77332
2020,RIOSA,13.694717
2020,NELSON,103.33157
2020,5-4 POTTERS ,925.40186
2020,5-6 CASCADE CREEK,260.17557
2020,TEDDY,13.279565
2020,COAST,20.2083
2020,CZU LIGHTNING COMPLEX,86553.461
2020,OAK,1146.4658
2020,CREEK,834.2442
2020,19-Mar,65.008545
2020,VINEYARD,150.49449
2020,MINA,158.86919
2020,BEAR,10.473744
2020,REDWOOD,101.40028
2020,GRIZZLY,155.27298
2020,BEEGUM,181.44044
2020,8-Apr,278.00998
2020,ELK,730.48138
2020,RED,26.40666
2020,MINE,11.07413
2020,AVOCADO,137.58138
2020,HONCUT,88.185837
2020,GRAND,31.061085
2020,PARK FIRE,24.097841
2020,SILVERADO,12469.206
2020,BLUE RIDGE,13694.532
2020,BOND,6681.0986
2020,CLARK,106.78496
2020,DULUTH,71.949944
2020,KARCHNER,30.024942
2020,SIMPSON,28.574575
2020,WATT,39.866062
2020,LOCUST,15.859506
2020,GARDEN,49.008781
2020,FEATHER,14.740744
2020,BADGER,557.30609
2020,MINER,23.13611
2020,JENNY 2-3,14.637078
2020,SCHOOLHOUSE,37.064037
2020,TOWNSEND,13.730427
2020,SHACKLEFORD,37.650269
2020,MOC,2857.6055
2020,SALT,1593.7322
2020,WALKER,1398.0038
2020,BAKER,165.17973
2020,BENA,2884.4102
2020,FLAT,40.127972
2020,COMANCHE,66.156052
2020,SHEEP,233.05606
2020,RESERVE,11.500824
2020,JOHNSON,38.07296
2020,SODA,421.46991
2020,WOODY,90.521912
2020,BLUE,19.949446
2020,SHERWOOD,44.598595
2020,VISTA ,34.717957
2020,GARCES,10.845668
2020,LILAC,52.846813
2020,WATER,22.270731
2020,STAGECOACH,7750.6372
2020,HUNTERS,82.140099
2020,PASS,2163.6978
2020,POWER,151.54947
2020,BEN,48.125347
2020,HENSLEY,398.48148
2020,FRANCISCAN,15.779857
2020,BAR,57.785629
2020,LEOPARD,16.629004
2020,DRUM,695.47058
2020,TWITCHELL,28.684549
2020,BALLARD,17.297138
2020,GAREY,12.152788
2020,PLATINA,339.46661
2020,ROSA,13.274441
2020,SPRINGS,10.299823
2020,PINES,15.737025
2020,BRUDER,169.54852
2020,HOLLISTER,157.01782
2020,KIRSCHEMANN,28.751392
2020,VIEW,77.059242
2020,GATO,10.235489
2020,LITO,25.822441
2020,DUTARD,13.633389
2020,CLARK,18.829184
2020,HUASNA,47.429596
2020,SODA,1653.1144
2020,AVILA,434.29105
2020,GAGE,33.055237
2020,LAKE,567.00629
2020,SODA,152.58662
2020,RIATA,15.232535
2020,BERRY,24.214361
2020,BRANCH,2922.2039
2020,II-2,64.875885
2020,CARRIZO,184.91742
2020,TOPAZ,157.11494
2020,POND,1962.3289
2020,HUTTON,22.70941
2020,CRESTA BLANCA,18.424768
2020,JUAN,33.282143
2020,PASS,323.17609
2020,III_2,20.434998
2020,WHALE,322.33667
2020,PLACER,53.15897
2020,ZOGG,56338.051
2020,POINT,276.65826
2020,GRADE,1050.2405
2020,FORKS,117.23483
2020,SPRINGS,223.88686
2020,PITZER,118.78046
2020,MENTONE,47.27253
2020,INWOOD,10.819821
2020,DERSCH,133.29955
2020,GRANT FIRE,5062.1978
2020,CRONAN FIRE,28.271208
2020,RIDGE,17.105452
2020,CLAY FIRE,740.1123
2020,MEISS FIRE,509.14716
2020,DEN,42.875164
2020,FRONTIER,21.708698
2020,GATOS,31.958984
2020,HILLS,44.138958
2020,HILLS,2120.9802
2020,KINGS,65.946091
2020,MINERAL,29666.955
2020,SUTTER,26.958984
2020,SYCAMORE,26.592453
2020,THERMAL,11.4255
2020,TODD,13.096781
2020,TAR,20.488293
2020,MURPHY FIRE,13.251124
2020,COPPER FIRE,46.583408
2020,CAMERON FIRE,14.426042
2020,LIBERTY FIRE,88.692551
2020,LAMBERT FIRE,21.816267
2020,CROSS,24.49597
2020,BROWN,18.353296
2020,BOOMER,10.929889
2020,BRADLEY,230.35477
2020,CARMEL,6996.9443
2020,COPPERHEAD,22.668116
2020,CIRCLE,32.202072
2020,COYOTE,1485.0753
2020,FRUDDEN,43.211426
2020,JOHNSON,39.919762
2020,JULIUS,21.768515
2020,METZ,33.091808
2020,RICO,338.13959
2020,RIVER,50213.816
2020,VISTA,27.802195
2020,STAGE,51.160126
2020,BITTERWATER,210.54364
2020,BITTER,895.40442
2020,HUNTER,194.55795
2020,HOLSER,2188.6335
2020,LIME,802.55371
2020,ELIZABETH,298.95969
2020,PERKIN,39.826454
2020,MEDIO,16.060997
2020,SCU COMPLEX,396824.47
2020,PARK,342.52133
2020,CREWS,5513.1914
2020,VOLCANO,46.388607
2020,BORDER 7,70.651421
2020,SKYLINE 3,79.95433
2020,WILLOWS,58.151138
2020,BORDER 11,59.769276
2020,AIRPORT,1085.7001
2020,CASINO,91.579002
2020,INDIAN,59.731518
2020,SANDERSON,1954.6515
2020,SIERRA,39.050262
2020,SKYLINE,47.932137
2020,WATER,36.020378
2020,EQUESTRIAN,83.618767
2020,SOLEDAD,1525.5355
2020,RIDGE,320.83929
2020,CASTAIC,178.31157
2020,WEST,46.837574
2020,3 POINTS,11.786088
2020,BOBCAT,115997.98
2020,JOHNSON,291.94925
2020,QUAIL,12.858473
2020,RAYBURN,12.390582
2020,ACTON,13.841054
2020,SAN DIMAS,128.17082
2020,AIRLINE,62.407829
2020,HILL,139.1295
2020,BRIM,21.924601
2020,SITES,569.51337
2020,POPE,64.28315
2020,LYONS,25.58551
2020,SALT,86.66375
2020,CATHOLIC,22.234919
2020,URSULINE,11.931836
2020,SIERRA,17.904806
2020,STAGE,26.567816
2020,INDIAN,20.427343
2020,KIRKLAND,21.10397
2020,PARISH,57.631348
2020,CACHE,44.797752
2020,MOUNTAIN,28.201857
2020,MEYERS,2360.2515
2020,WALBRIDGE,55208.938
2020,HENNESSEY,305351.88
2020,GLASS,67484.406
2020,QUAIL,1840.9998
2020,LAKEVILLE,159.68047
2020,DUNFIELD,21.912743
2020,SPANISH,17.294407
2020,DEVILS GULCH,16.945185
2020,INDIA,959.2821
2020,IRIS,124.99827
2020,DALTON ,1367.0784
2020,ALLEN,1034.7949
2020,BEACH,3668.429
2020,LOYALTON,46720.91
2020,SHEEP,29541.139
2020,DOLAN,124527.38
2020,FOX,2027.5538
2020,SHOTGUN,840.85065
2020,NORTH COMPLEX,318797.25
2020,CASTLE,170647.92
2020,FORK,1668.4502
2020,COLEMAN,562.91382
2020,POINT,93.224213
2020,CREEK,379842.41
2020,BALD,17.924097
2020,BRIDGE,14.587063
2020,IRON,37.90358
2020,BULLFROG,654.63983
2020,FLAT,62.040573
2020,DEVIL,8871.9385
2020,DAVIS 3,11.434861
2020,SPRING,228.83437
2020,PINE,11.313724
2020,FEATHER,39.70483
2020,MP 21,93.048401
2020,GIBSON,41.670918
2020,HOBO,413.52509
2020,HARRIS,10.616569
2020,QUARTER,11.58482
2020,ADAMS,901.67279
2020,SLATER,157429.86
2020,JONES POINT,136.59282
2020,COPPER,54.708244
2020,BIRD,25.048113
2020,BROCK,14.988231
2020,BASEBALL,215.52551
2020,RIDGE,82.713013
2020,BELL,44.9006
2020,BROOK,183.21283
2020,LAKE,30999.398
2020,RANCH2,4119.2046
2020,VALLEY,16389.537
2020,MARTINDALE,233.34526
2020,MOUNT R,61.770126
2020,ADOBE,15.183578
2020,KENWOOD,10.373266
2020,EASTON,56.798523
2020,LAGO,16.890215
2020,BULL,14.089692
2020,SOUTH MAIN,13.008084
2020,PITMAN,39.666264
2020,GIFFORD ,16.80192
2020,HOG,527.48822
2020,H - 8 WELL,60.990669
2020,L-2 YELLOW,14.904055
2020,DAM,226.36584
2020,FLAT,13.647892
2020,TRIMMER,593.86481
2020,BAKER,47.618317
2020,TRAMWAY,11.137944
2020,SNOW,6253.4395
2020,OAKS,16.569914
2020,PUMICE ,43.026699
2020,NAIL,14.590242
2020,LITTLE SODA,53.089447
2020,AUGUST COMPLEX,1032699.6
2020,STUMP,325.41235
2020,HOG,9566.3604
2020,ANTELOPE,101.76656
2020,FISH CREEK,29.782703
2020,RED SALMON COMPLEX,143836.41
2020,33,33.667503
2020,ELSMERE,159.20567
2020,MESA,100.55494
2020,ROWHER,648.18073
2020,TEXAS,209.95065
2020,MURPHY,12.086473
2020,BLUEJAY,6922.0137
2020,CALDWELL,81224.68
2020,DOME,44211.25
2020,HORSE,30.192495
2020,IVANPAH,1051.4855
2020,MORAINE,1316.0377
2020,NORTH WHIZZ DOME,199.98232
2020,RATTLESNAKE,8422.8691
2020,SCORPION,1320.7283
2020,WOLF,2057.2961
2020,WOODWARD,4901.7266
2020,166,120.72024
2020,AURORA,238.28386
2020,BACCARAT,10456.402
2020,BARNES,79.417404
2020,BASIC,116.17775
2020,ELLIOT,102.64169
2020,HILL,63.227257
2020,HORN,25.201666
2020,LAURA 2,2729.0266
2020,MOUNTAIN VIEW,20374.564
2020,NADEAU,9150.4023
2020,NORTH,6882.2935
2020,R-1 MAPES,258.95813
2020,R-3 LITTLE FREDOYNER,187.34377
2020,R-2 TRUMBULL,576.66077
2020,R-3 SKEDDADLE,197.50771
2020,R-5 SNOWSTORM,471.72205
2020,R-5 DRY,45.45549
2020,R-8 PINECODE,566.49451
2020,RAILROAD,131.87721
2020,SLINK,26751.779
2020,SMOKETREE,129.99435
2020,STANDING ROCK,90.212074
2020,W-4 TERMO,265.58386
2020,W-5 COLD SPRINGS,84817.602
2020,WOOD,54.357285
2020,BEND,264.31137
2020,LULU,11.384381
2020,ORANGE,35.979187
2020,PARKER DAM,13.992201
2020,R-6 TUNNISON,175.14803
2020,PINEY,21.870605
2020,CIMA,32.435608
2020,MYER,12.894899
2020,STANDARD,23.779938
2020,AHA MACAV,42.103676
2020,POWER,17.045658
2020,CREEK 5,3052.1726
2020,EL DORADO,22503.707
2020,BRUNO,6.7896657
2020,LIVE OAK,1.6696922
2020,WILLIAMS,7.8091187
2020,HIGHLAND,1.1543896
2020,WINDY RIDGE FIRE,1.7427638
2020,NICHOLS,8.1194172
2020,LAGUNA,7.1624265
2020,GUYS,2.8024895
2020,ORR,3.5030618
2020,LIBERTY,8.0555944
2020,MARTIN,2.3604321
2020,SPRING,1.7493329
2020,RED 3-1,1.28821
2020,NOYES 1-14,8.1201296
2020,MOFFETT,1.0704613
2020,SIERRA,1.1342438
2020,CROSS,6.0815892
2020,EXTENSION INC,3.2462785
2020,CAMELOT ,9.6194544
2020,,1.410283
2020,,1.8073028
2020,OUTLET,1.0668721
2020,178,7.2226071
2020,TRAIL,2.4768927
2020,,9.1831656
2020,WOFFORD ,5.7888565
2020,SABODAN,3.0244086
2020,DONALD,1.3796593
2020,MOCKINGBIRD,8.8859911
2020,RANCHO,1.5328449
2020,HUASNA,1.8204399
2020,BISHOP,1.4703717
2020,CAMATTA,2.1390374
2020,DAIRY,2.5821795
2020,FARM,2.2410386
2020,LINNE,6.545331
2020,JACK,5.7979827
2020,SHERRY,1.0090959
2020,CAMATTA,7.9101806
2020,VENICE,3.3597908
2020,MACK,1.2023541
2020,WEBSTER,4.872211
2020,SHED,6.0667315
2020,CREEK,2.0140557
2020,MUSTARD,1.8068281
2020,RESERVOIR,8.0318642
2020,PRICE,1.0575446
2020,RANCHO,2.2681742
2020,LAGO,2.8148348
2020,TORO,2.0162549
2020,CHOLAME,3.2303421
2020,TOPAZ,6.8947678
2020,GREEN,6.0770574
2020,DAVIS,3.2572134
2020,MEADOW,5.0337672
2020,LUCY,2.1383514
2020,HILLS,1.1751575
2020,SPRING,3.958437
2020,IV_1,3.0492761
2020,BRIDLE,2.0577333
2020,CORNELL,1.8104461
2020,ENERGY,6.9268775
2020,COUNTRY,1.0168995
2020,DELTA,7.6007304
2020,DAVIS,1.1195424
2020,SMARTSVILLE,8.0897455
2020,POND,7.0860519
2020,ERBES,26.548506
2020,LEWIS,3.9673607
2020,GOLD,22652.559
2020,GOODENOUGH,8.4154329
2020,TOPANGA,2.6142542
2020,AIRPORT,3.0013258
2020,MESA,1.2505322
2020,COLIMA,6.2452412
2020,HASLEY,6.6710491
2020,HILL,3.4855576
2020,210TH,7.0676475
2020,CALGROVE,4.2280731
2020,GROVE,1.7989408
2020,TOPANGA,6.7322812
2020,PALM,8.4067898
2020,NO NAME,3.0134025
2020,CANYON,7.2688799
2020,BANNING,1.5290649
2020,DUNNIGAN,6.1252747
2020,MONTICELLO,1.0864356
2020,LAWLEY,2.0236042
2020,HUBCAP,2.017771
2020,SPRING,1.703426
2020,COUNTY ROAD 2,1.2427055
2020,MULE,7.3562012
2020,CANAL,4.0730667
2020,MOBILE,1.119406
2020,OAT,5.6383109
2020,LUCERNE,4.1219301
2020,GEORGE,1.3464313
2020,EAGLE,1.4826629
2020,HEATHER,1.9139291
2020,17-7,1.8423132
2020,LYTTON,1.9312235
2020,SPRING,1.2904066
2020,LAKE VIEW,2.3081572
2020,CREEK,1.2475278
2020,ARROW,6.7308369
2020,REDWOOD,2.1788154
2020,CHABLIS,1.3319296
2020,BLUE LAKES,4.3660474
2020,SALMON,5.4292068
2020,STONY,6.5855865
2020,DIGGER/QUAIL,5.7131143
2020,DUNNIGAN,1.8512373
2020,LAMB,1.710471
2020,ANNAPOLIS,2.159534
2020,FOX,1.696867
2020,13-1,1.2041897
2020,MILL,1.6995125
2020,TAYLOR,1.7314003
2020,NEWELL,2.5603883
2020,PLEASANTS,8.7006702
2020,CEMENT,3.5096185
2020,TWIN,1.0429176
2020,PIERCE,5.6360593
2020,ISLAND,1.4350532
2020,PLASKETT,1.5009471
2020,RALPH ,9.3903837
2020,BLUE,5.1512733
2020,28-Feb,21.37203
2020,11-Jan,12.209177
2020,Feb-30,6.2585044
2020,26-Feb,27.641739
2020,8-Jan,92.395065
2020,7-Jan,174.78903
2020,12-Jan,946.58356
2007,OCTOBER,25.736713
2007,MAGIC,2824.8772
2007,RANCH,58410.336
2007,EMMA,172.21495
2007,CORRAL,4707.9971
2007,GORMAN,2373.845
2007,WEST,245.23396
2007,PEARBLOSSOM,81.033501
2007,SKYLINE,95.418556
2007,SESNON,30.301418
2007,SOLEDAD,44.16777
2007,Y,22.49173
2007,ANGEL 3,832.12653
2007,BANNER,95.15126
2007,CHAMBERS,54.696358
2007,BROWN,18.731773
2007,DRIFTWOOD,52.972954
2007,CAPPEL,12.894146
2007,MOUNTAIN,840.55829
2007,WHITE,12432.16
2007,WOFFORD,567.4566
2007,PEARBLOSSOM,77.802773
2007,ISLAND,4722.9658
2007,CANYON,743.47992
2007,FAIRMONT,211.62195
2007,AUBERRY,150.93607
2007,GATOS,83.0522
2007,CORONADO HILLS,58.794746
2007,MEADOW RIDGE,39.108467
2007,HIGHWAY 41/ RD 209 3,329.08093
2007,BORDER #34,109.22461
2007,78 #4,99.97422
2007,BORDER #25,136.20993
2007,VUELTA,214.81335
2007,WILLOW,73.360008
2007,LOOKOUT,64.51181
2007,PINE,481.78003
2007,ISLAND,517.56293
2007,HWY 128,508.3511
2007,PEAK,46.321991
2007,MOUNTAIN,49.278236
2007,SPRUCE,129.01109
2007,BRAYE,636.53021
2007,ROBINSON,121.54822
2007,WEST,36.99461
2007,GRIFFITH PARK,747.89838
2007,BARHAM,224.32764
2007,SMALL HIGHWAY,0.132266
2007,RABBIT HILL,16.840963
2007,ROADSIDE,0.32058397
2007,DEER RIDGE,0.30896154
2007,TRIUNFO,0.30898094
2007,241 (HAYSTACK),0.23822019
2007,PIONEER,0.33881804
2007,FREEMONT/IRVINE LAKE,9.4887638
2007,ANTONIO,0.87953585
2007,FREEWAY INCIDENT,2.4546256
2007,CROWN VALLEY,22.872665
2007,261 INCIDENT,89.767937
2007,ROCA,270.02652
2007,CEMETERY,501.57867
2007,MARIPOSA,188.25462
2007,SEDGWICK,808.82922
2007,GRIFFITH PARK,4.9619694
2007,AGOURA,0.80840141
2007,KANAN,0.51394385
2007,FLORES,0.093504287
2007,AGOURA 2,2.0144122
2007,VIRGENES,0.016780473
2007,RIVER,158.04161
2007,ROSA,409.63455
2007,LAGUNA CANYON,2.8425734
2007,241 INCIDENT,1618.0792
2007,,14.803358
2007,ROSE,8.3359556
2007,BAYNE,125.96057
2007,PLACERVILLE,0.98178816
2007,AMMO,21493.908
2007,RED STAR,208.71445
